text_clean,label,text
spending new years with my brother and his family lets plan to meet next week are you ready to be spoiled,0,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :)
hmmmstill we dont have opener,0,Hmmm.still we dont have opener?
nonenowhere ikno doesdiscountshitinnit,0,NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT
dear heroi am leaving to qatar tonite for an apt opportunitypls do keep in touch at ltemailgt kerala,0,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala"
tell where you reached,0,Tell where you reached
why i come in between you people,0,Why i come in between you people
s min to go for lunch,0,S:)8 min to go for lunch:)
sounds like you have many talents would you like to go on a dinner date next week,0,Sounds like you have many talents! would you like to go on a dinner date next week?
hui xin is in da lib,0,Hui xin is in da lib.
hi good mornin thanku wish u d same,0,Hi good mornin.. Thanku wish u d same..
i met you as a stranger and choose you as my friend as long as the world stands our friendship never ends lets be friends forever gud nitz,0,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes always remember a stupid friend is here to share bslvyl,0,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
just got outta class gonna go gym,0,Just got outta class gonna go gym.
my sister in law hope you are having a great month just saying hey abiola,0,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
u were outbid by simonwatson on the shinco dvd plyr bid again visit sms acsmsrewards end bid notifications reply end out,1,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
nope c then,0,Nope... C Ã¼ then...
u wake up already wat u doing u picking us up later rite im taking sq reaching ard smth like dat u can check e arrival time c ya soon,0,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon..."
dont let studying stress you out lr,0,Dont let studying stress you out. L8r.
haha better late than ever any way i could swing by,0,"Haha better late than ever, any way I could swing by?"
get lions england tone reply lionm mono or lionp poly more go the original n best tones gbp network operator rates apply,1,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply."
yes im small kid and boost is the secret of my energy,0,"Yes, i'm small kid.. And boost is the secret of my energy.."
i will cme i want to go to hos morow after that i wil cme this what i got from her dear what to do she didnt say any time,0,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
jesus armand really is trying to tell everybody he can find,0,Jesus armand really is trying to tell everybody he can find
im in class will holla later,0,I'm in class. Will holla later
you still around looking to pick up later,0,You still around? Looking to pick up later
me too baby i promise to treat you well i bet you will take good care of me,0,Me too baby! I promise to treat you well! I bet you will take good care of me...
sbut he had some luck catches put down,0,S:)but he had some luck.2 catches put down:)
we not leaving yet ok lor then we go elsewhere n eat u thk,0,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
i luv u soo much u dont understand how special u r me ring u morrow luv u xxx,0,I luv u soo much u donÂt understand how special u r 2 me ring u 2morrow luv u xxx
yeah theres quite a bit left ill swing by tomorrow when i get up,0,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
hurry home u big butt hang up on your last caller if u have to food is done and im starving dont ask what i cooked,0,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.
waqt se pehle or naseeb se zyada kisi ko kuch nahi miltazindgi wo nahi he jo hum sochte hai zindgi wo hai jo ham jeetey hai,0,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai.........."
you only hate me you can call any but you didnt accept even a single call of mine or even you messaged,0,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged
